record_id,title,pages,authors,doi_confirmed_in_pdf,zenodo_record,html,text,data,characters_extracted,words_extracted,source_pdf_filename,source_pdf_sha256,visual_pages,low_text_pages
20407494,Trailstate 2.0 PageRank for Provenance,3,Raynor Eissens,10.5281/zenodo.20407494,https://zenodo.org/records/20407494,papers/20407494.html,text/20407494.txt,data/20407494.json,6274,812,20407494_Trailstate 2.0 PageRank for Provenance Formal Reference Architecture.pdf,b8522086d8f598554c50328f8f00165c978e78b9830d1e1e2e765429ec1c918d,,
20381720,Liquid Power Fantasy Routing — An AI-Native Architecture for Post-Guide Game Progression (v0.1),2,Raynor Eissens,10.5281/zenodo.20363313,https://zenodo.org/records/20381720,papers/20381720-v0-1.html,text/20381720-v0-1.txt,data/20381720-v0-1.json,3084,444,20381720_Liquid_Power_Fantasy_Routing_Zenodo_v0_1.pdf,9d0f402cb4793e04a9a62d377b9bf18ce9fbdbe7e30eb30d2ad24950ea4a8e6a,,
20381720,Liquid Power Fantasy Routing v0.2 — AI-Native Save Routing & Dual-Layer Session Memory,2,Raynor Eissens,10.5281/zenodo.20381720,https://zenodo.org/records/20381720,papers/20381720-v0-2.html,text/20381720-v0-2.txt,data/20381720-v0-2.json,2777,381,20381720_Liquid_Power_Fantasy_Routing_v0_2.pdf,0aeb75070deb50e014cfb51a11b2ee94cd72b477847e08cd797ea37f500acc7b,,
20355071,Trailstate v0.2 — ASCII Face Routing Grammar: Browser-Native Replayable AI Provenance Routes,4,Raynor Eissens,10.5281/zenodo.20355071,https://zenodo.org/records/20355071,papers/20355071.html,text/20355071.txt,data/20355071.json,7318,933,20355071_Trailstate_ASCII_Face_Routing_v0_2_Zenodo.pdf,478f4c4b17775458595891645ed4f98494142fce9593205a0f880bfccc96e5a3,1,
20262401,GGTruth Retrieval Specification v0.1,3,,10.5281/zenodo.20262401,https://zenodo.org/records/20262401,papers/20262401.html,text/20262401.txt,data/20262401.json,2644,327,20262401_GGTruth Retrieval Specification v0.1 A Low-Entropy Retrieval Grammar for AI-Native Knowledge Systems.pdf,290067e6610bbe2eb851430d24597fb50babe839b3b95a805058572cefe5ad33,,
20196025,"The Provenance Internet: Rediscovery, Artifact Trails, and Recoverable Social Objects",2,,10.5281/zenodo.20196025,https://zenodo.org/records/20196025,papers/20196025.html,text/20196025.txt,data/20196025.json,2487,343,"20196025_The Provenance Internet - Rediscovery, Artifact Trails, and Recoverable Social Objects.pdf",116b44502c400707ad44551e3d8601e5952d06ee40d103ec53ca64c327067200,,
20153283,NSFWRun: A Resolver-Based Roguelite Encounter Runtime for Adult Image Progression,2,,,https://zenodo.org/records/20153283,papers/20153283.html,text/20153283.txt,data/20153283.json,4207,596,20153283_NSFWRun_Resolver_Roguelite_Runtime_1.0.pdf,2f72c0748a23422fa711bd36aaf5420d5fc946baf8590e0f444a8f9a92913db1,,
20105707,Brown Hyperlinks / Burylinks: A Recoverable Hyperlink Grammar for Field-Based Web Discovery,6,,10.5281/zenodo.20105707,https://zenodo.org/records/20105707,papers/20105707.html,text/20105707.txt,data/20105707.json,4571,634,20105707_Brown Hyperlinks _ Burylinks - A Recoverable Hyperlink Grammar for the Brownweb.pdf,ad5d347f130f3fa040ab22149d23b91018073833073e97265c1211d058f0a261,,
19638021,Environment → Transparent Surface → AI Runtime Reveal → Local Meaning,1,Raynor Eissens,10.5281/zenodo.19638021,https://zenodo.org/records/19638021,papers/19638021.html,text/19638021.txt,data/19638021.json,3276,450,19638021_environment_transparent_surface_ai_runtime_reveal_local_meaning_raynor_eissens_2026.pdf,c941be404e4fd132bc2f35ab5da4c57fccb5da26794bae953e59b114c704e6e2,,
19615409,Post-App Meaning Distribution Over Objects and Portable Agents — A Reversible Runtime Architecture for Object-Bound Intelligence,8,Raynor Eissens,10.5281/zenodo.19615409,https://zenodo.org/records/19615409,papers/19615409.html,text/19615409.txt,data/19615409.json,9915,1277,19615409_Post-App Meaning Distribution Over Objects and Portable Agents.pdf,89736839d1bb961eb5fb177603c6710fcab82c27ae9fd0a03d838d2bf095a477,"7, 8",
19615111,Post-App Meaning Distribution Over Objects and Portable Agents — A Reversible Runtime Architecture for Object-Bound Intelligence,9,Raynor Eissens,10.5281/zenodo.19615111,https://zenodo.org/records/19615111,papers/19615111.html,text/19615111.txt,data/19615111.json,9554,1382,19615111_post-app meaning distribution over objects and portable agents a reversible runtime architecture for object-bound intelligence ray.pdf,2a358c4a65d6904b6488070bffa9dd4764ef6a7acd0697172a80f39bbaa99730,"8, 9",
19519620,"#ffaMarcie — Dime Tower, the 1≠0 Break, and the Release of Intelligence into the World",3,Raynor Eissens,,https://zenodo.org/records/19519620,papers/19519620.html,text/19519620.txt,data/19519620.json,8199,1265,"19519620_#ffaMarcie — Dime Tower, the 1≠0 Break, and the Release of Intelligence into the World.pdf",70b2d79612b6c3eb666cb202a3965c22f390a50c562ed05f11b3a0220a4cc45c,,
19519349,Humane Routing and Break-Check Architecture for AI Responses Chromatic Reasoning Enhancement Layer (CREL),13,Raynor Eissens,10.5281/zenodo.19519349,https://zenodo.org/records/19519349,papers/19519349.html,text/19519349.txt,data/19519349.json,16231,2452,19519349_Humane Routing and Break-Check Architecture for AI Responses_raynor_eissens_2026.pdf,3e6dac2f1760c49632a7b74e782f9426c9d49213782d66463c85c5526ca937be,,
19500161,Object-Bound Agentic Interfaces: Receiver-First Spatial Inventories for Post-Smartphone Computing,8,Raynor Eissens,10.5281/zenodo.19500161,https://zenodo.org/records/19500161,papers/19500161.html,text/19500161.txt,data/19500161.json,7012,966,19500161_Object-Bound Agentic Interfaces Receiver-First Spatial Inventories for Post-Smartphone Computing Raynor Eissens 2026.pdf,459b7a6be1e96519c8fd47696702a780ae2728fc44045898716e744ae07b28e4,,
19443707,Atlas Operator Stack: A Four-Domain Reasoning Architecture for Agentic Web Navigation,3,,,https://zenodo.org/records/19443707,papers/19443707.html,text/19443707.txt,data/19443707.json,4195,573,19443707_Atlas Operator Stack- A Four-Domain Reasoning Architecture for Agentic….pdf,b861950a7bba903af849421328510004054c12f691a78e5e31a6a64388c2b1ed,,
19418727,From Entropy to Field: The Grammar of Compressed Environmental Intelligence,15,Raynor Eissens,10.5281/zenodo.19418727,https://zenodo.org/records/19418727,papers/19418727.html,text/19418727.txt,data/19418727.json,12753,1834,19418727_from_entropy_to_field_compressed_thermodynamic_grammar_of_environmental_intelligence_raynor_eissens_2026.pdf,f29100127a97a840fa3eb2d14a09057c70ddcdddc5875764ef1c306598d29d69,,
19366174,"ARC-1 — Ambient Residue Collectibles: MVP Specification for Field-First AR Discovery, Single-Take Transfer, and Afterfield Decay",12,Raynor Eissens,10.5281/zenodo.19366174,https://zenodo.org/records/19366174,papers/19366174.html,text/19366174.txt,data/19366174.json,15329,2313,"19366174_ARC-1 — Ambient Residue Collectibles - MVP Specification for Field-First AR Discovery, Single-Take Transfer, and Afterfield Decay.pdf",e8eb14732890f088c2d487e76b49020ea29c2ae257dc236388d064d5d2b35ef5,,
19338452,CS-0 — Chromatic Search: How AI Reads Fields Instead of Documents,27,Raynor Eissens,10.5281/zenodo.19338452,https://zenodo.org/records/19338452,papers/19338452.html,text/19338452.txt,data/19338452.json,49527,7324,"19338452_CS-0 Chromatic Search — Post-Symbolic Field Access, Pin-as-Query, Decay-as-Privacy, Residue Legibility, and the Interpretive Engin.pdf",6c8faf6a2524b696c0906965277441a49b6e2d5d538cf97e1f433b120097f0da,,
19299991,CP-1 — Chromapin: Field Anchoring for Relational and Civic Addressability,11,Raynor Eissens,10.5281/zenodo.19299991,https://zenodo.org/records/19299991,papers/19299991.html,text/19299991.txt,data/19299991.json,14685,2014,19299991_cp-1-chromapin-field-anchoring-for-relational-and-civic-addressability-raynor-eissens-2026.pdf,8cd64003a2b55a97c46620d1abce014c7658c197254ae7b99cfe46cccd53299e,,
19287251,RFL-Ω — Ambient Civilizational Closure: The state in which civilizational coordination no longer produces structural pressure,15,Raynor Eissens,10.5281/zenodo.19287251,https://zenodo.org/records/19287251,papers/19287251.html,text/19287251.txt,data/19287251.json,13239,1935,19287251_rfl-omega-ambient-civilizational-closure-raynor-eissens-2026.pdf,add4431c999b076ada83421f39662f2617ce0bd524353895230a8953323bc53c,,
19286795,"RFL-6 — Institutional Softening: How existing institutions transition into ambient, reversible, and field-aligned systems without collapse",15,Raynor Eissens,10.5281/zenodo.19286795,https://zenodo.org/records/19286795,papers/19286795.html,text/19286795.txt,data/19286795.json,13960,1878,19286795_rfl-6-institutional-softening-raynor-eissens-2026.pdf,65cd0b3b45cd90849c094ba81d8d9a5cdeb02d07eaa8ab098c0d72fc027f0e3d,,
19286058,"RFL-5 — Civilizational Ambient Coordination: How relational, domestic, and civic fields synchronize into a breathable civilizational layer",15,Raynor Eissens,10.5281/zenodo.19286058,https://zenodo.org/records/19286058,papers/19286058.html,text/19286058.txt,data/19286058.json,15959,2246,19286058_rfl-5-civilizational-ambient-coordination-raynor-eissens-2026.pdf,94c89f4292c177e7f89d071cf1b640fc3d034fd5fe662d4124752bf687549266,,
19284882,RFL-4 — Civic Field Emergence: How shared relational convergence turns places into responsive ambient civic environments,18,Raynor Eissens,10.5281/zenodo.19284882,https://zenodo.org/records/19284882,papers/19284882.html,text/19284882.txt,data/19284882.json,19688,2849,19284882_rfl-4-civic-field-emergence-raynor-eissens-2026.pdf.pdf,28d63523165574b06fd8ae3b2672012e9a68d2f18ffa9fee4bda2c0e5028018e,,
19283988,RFL-3 — Social Field Convergence: How relational fields synchronize into shared ambient environments,18,Raynor Eissens,10.5281/zenodo.19283988,https://zenodo.org/records/19283988,papers/19283988.html,text/19283988.txt,data/19283988.json,20917,2984,19283988_rfl-3-social-field-convergence-raynor-eissens-2026.pdf,d19d8846995354f473bd7cd3e927bd38da7f800f0a21d9ae7bc2ce17076d3ec8,,
19283203,WSC-1 — WarmthSwipe and ChronoSense: Distribution and Temporal Emergence Operators in Relational Field Infrastructure,8,Raynor Eissens,10.5281/zenodo.19283203,https://zenodo.org/records/19283203,papers/19283203.html,text/19283203.txt,data/19283203.json,10320,1366,19283203_wsc-1-warmthswipe-and-chronosense-raynor-eissens-2026.pdf,5e2e8d9464fa1dcec19e580c4ce22a6107ba590e7762868a18864807412e82c4,,
19282337,RFL-2 — Relational Attractor Dynamics: From lived relational presence to synchronized chromatic infrastructure,11,Raynor Eissens,10.5281/zenodo.19282337,https://zenodo.org/records/19282337,papers/19282337.html,text/19282337.txt,data/19282337.json,11820,1658,19282337_rfl-2-relational-attractor-dynamics-raynor-eissens-2026.pdf,66db2ef2c2c418d45e9b02f73a63bd4f8548d1fef14530556177e5ac39d048cd,,
19281768,RFL-1 — Relational Field Layer: How repeated relational presence accumulates into chromatic fields beyond place and interface,8,Raynor Eissens,10.5281/zenodo.19281768,https://zenodo.org/records/19281768,papers/19281768.html,text/19281768.txt,data/19281768.json,8974,1224,19281768_rfl-1-relational-field-layer-raynor-eissens-2026.pdf,b49767b86d2d08f0c5743677cb69a239f62372dd6472c852f1af392df73f8f76,,
19222204,"Environmental Slots: Proximity Sync, Presence Activation, and Presence Gradients in Chromatic OS",12,Raynor Eissens,10.5281/zenodo.19222204,https://zenodo.org/records/19222204,papers/19222204.html,text/19222204.txt,data/19222204.json,19647,2910,"19222204_Environmental Slots - Proximity Sync, Presence Activation, and Presence Gradients in Chromatic OS.pdf",ca4aef7e4c58abade9f188bab3af44f04b7fcdd7a224d45654412009832e6d3a,"1, 9, 10, 12",
19216293,"SPN-1 — Spatial Public Nodes: Practical relevance of Emergent Civic Fields and Linked Nodes of Place for AR, edge AI, and humane spatial infrastructure",8,,10.5281/zenodo.19216293,https://zenodo.org/records/19216293,papers/19216293.html,text/19216293.txt,data/19216293.json,13548,1908,19216293_SPN-1 — Spatial Public Nodes.pdf,ab633929d27458a91d406bf11a7ffa557ea9e325b17d7b2ff6302b257f8348f5,,8
19216288,LNP-1 — Linked Nodes of Place: How places become readable nodes in the chromatic internet,9,,10.5281/zenodo.19216288,https://zenodo.org/records/19216288,papers/19216288.html,text/19216288.txt,data/19216288.json,13461,1967,19216288_LNP-1 — Linked Nodes of Place.pdf,b0d64831b78b1506a68fb09bbce7c3656e64441a0e87512a12abac9f7d9f0666,"1, 2",
19216286,ECF-1 — Emergent Civic Fields: How repeated chromatic sync turns places into temporary public semantic fields,8,,10.5281/zenodo.19216286,https://zenodo.org/records/19216286,papers/19216286.html,text/19216286.txt,data/19216286.json,12933,1812,19216286_ECF-1 — Emergent Civic Fields.pdf,41cb7b7d2b8928d81f2d6205531b7820b213fe0b9589677d529646e0ed1e2c23,,
19199930,"Chroma-Compatible OS - AP₁, Linked Payload, and Flat Representational Surfaces in the Ambient Era",5,Raynor Eissens,10.5281/zenodo.19199930,https://zenodo.org/records/19199930,papers/19199930.html,text/19199930.txt,data/19199930.json,7867,1205,19199930_raynor_eissens_2026_chroma_compatible_os_ap1_linked_payload_flat_representational_surfaces.pdf,935ada735b5788f91458af5771ab6b3e7700477840b8ba67785b8cfdced79a38,,
19192992,"ChromaPrompt: From Disposable Text to Reusable Semantic Deployment - A Technical Note on Placed Chroma Configurations, Chromagents, Chroma Bank, and Visual Prompting Above Runtime Primitives",14,Raynor Eissens,10.5281/zenodo.19192992,https://zenodo.org/records/19192992,papers/19192992.html,text/19192992.txt,data/19192992.json,16826,2579,19192992_raynor_eissens_2026_chromaprompt_from_disposable_text_to_reusable_semantic_deployment_technical_note.pdf,0b6981d1cf72d685da8f6581eeef00b6a3959d40e4a07f7ab099358363c8c48c,,
19180978,Temporary Route Residue and Social Route Escalation From Reversible Contextual Traces to Collective Route Attractors,4,Raynor Eissens,10.5281/zenodo.19180978,https://zenodo.org/records/19180978,papers/19180978.html,text/19180978.txt,data/19180978.json,6104,857,19180978_RR-1E_Temporary-Route-Residue-and-Social-Route-Escalation_Raynor-Eissens_2026.pdf,d5f88c3b754c7b18f5712baf6c06617edf7bb7901a1302b637aaa8fdf7725951,1,
19177610,"ChromaRail and Chromagent A Named Visual-Semantic Grammar for Placed Chroma Entities, Task-Bound Agents, and Soft Continuity Above Runtime Primitives",5,Raynor Eissens,10.5281/zenodo.19177610,https://zenodo.org/records/19177610,papers/19177610.html,text/19177610.txt,data/19177610.json,6775,973,19177610_raynor_eissens_2026_chromarail_and_chromagent_named_visual_semantic_grammar.pdf,317fa57a9949e5efd6367be8b80f9309b051b479864205ad013a239f6ab183dc,,
19160656,Receiver-First Rail Selective Reception and Symbolic Payload Integration in Chromatic Carrying,7,Raynor Eissens,10.5281/zenodo.19160656,https://zenodo.org/records/19160656,papers/19160656.html,text/19160656.txt,data/19160656.json,8225,1177,19160656_Receiver-First-Rail_Selective-Reception-and-Symbolic-Payload-Integration-in-Chromatic-Carrying_Raynor-Eissens_2026.pdf,81914c2ac22a449b4ac0b81cdbc7427bc0b012fd887ecf4981fa70afd7d61b37,,
19158869,"Stash, Slot, and Carry: ARPG, Pokémon, PSO, and the Environmental Conditions of Agentic AI",9,Raynor Eissens,10.5281/zenodo.19158869,https://zenodo.org/records/19158869,papers/19158869.html,text/19158869.txt,data/19158869.json,8827,1249,19158869_Raynor-Eissens_2026_Stash-Slot-and-Carry_ARPG-Pokemon-PSO-and-the-Environmental-Conditions-of-Agentic-AI.pdf,1a654794079819500f59297eaee6677d425b95f43f2bcd521d888feee8587ce0,"1, 9",9
19158211,"Chromatic Rail, Trail, and Veil (AEC-RTV1): A Low-Symbolic Carrying Architecture for Externalized Attention, Route Residue, and Soft Afterfield Memory",41,Raynor Eissens,10.5281/zenodo.19158211,https://zenodo.org/records/19158211,papers/19158211.html,text/19158211.txt,data/19158211.json,95037,14594,19158211_Chromatic-Rail-Trail-and-Veil_AEC-RTV1_Raynor-Eissens_2026_Ambient-Spatial-Era-Canon.pdf,66b4d18bbd05e51a0fd96848519ba3da73c044acb45d55dab17fd2b997d06b19,,
19157929,"RC-1 — Residue Communication A Reversible Continuity Layer Between Stateless Interaction and Total Storage Continuity Through Chromatic Afterfields in Messaging, Telephony, and Interface Systems",11,Raynor Eissens,,https://zenodo.org/records/19157929,papers/19157929.html,text/19157929.txt,data/19157929.json,13645,1998,"19157929_RC-1 — Residue Communication, A Reversible Continuity Layer Between Stateless Interaction and Total Storage, Continuity Through Ch.pdf",7231cb39c6fe65207dc662d05ed0ca0a42073aa6c77e24140bf487d4868fb394,1,
19144415,"Chromatic Message-to-Route (AEC-CMR1) — How State-First Color Communication Transforms into Navigation, Temporary Residue, Agent Legibility, and Ambient Coordination",41,Raynor Eissens,10.5281/zenodo.19144415,https://zenodo.org/records/19144415,papers/19144415.html,text/19144415.txt,data/19144415.json,35269,5217,19144415_AEC-CMR1_Chromatic-Message-to-Route_Raynor-Eissens_2026.pdf,62b2cfd157a99d5a9133f9951c3883ae0a1e338bbe99b936178b9213adaadff0,"26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41","27, 28, 29, 30, 31, 32, 33, 35, 37"
19095685,"Chromatic Signals: A State-First Semantic Color Layer for Utterances, Infrastructure, and Public Text",27,Raynor Eissens,10.5281/zenodo.19095685,https://zenodo.org/records/19095685,papers/19095685.html,text/19095685.txt,data/19095685.json,13673,2074,19095685_Chromatic Signals- A State-First Semantic Color Layer for Utterances….pdf,29b2b321d0b66af1facf799d9b98c4e40f8bceb0f90fe3c6d7f9b8d7bb532160,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27"
19062669,Chromatic Continuity as a Sidecar Layer: A Parallel Continuity Plane for AI-Native Infrastructure,8,Raynor Eissens,10.5281/zenodo.19062669,https://zenodo.org/records/19062669,papers/19062669.html,text/19062669.txt,data/19062669.json,10543,1461,19062669_Chromatic Continuity as a Sidecar Layer  CC-1 Sidecar Positioning Paper  A Parallel Continuity Plane for AI-Native Infrastructure.pdf,0564feea9a8b8e18eb41d26d0657095d15c820dc316075da79b63b90eafd2942,,
19060163,Chromatic Continuity (CC-1): The Non-Extractive Broadcast Continuity Layer for AI-Native Infrastructure,8,,,https://zenodo.org/records/19060163,papers/19060163.html,text/19060163.txt,data/19060163.json,8330,1082,19060163_Chromatic Continuity (CC-1)  The Non-Extractive Broadcast Continuity Layer for AI-Native Infrastructure.pdf,b802435171bb49d9c64423b6696cd17b724d0833441df93ec181aa3f8fd4ebf4,,
19021326,Thirdforming: The Carried Transition Out of Leakage-Bound Instability,16,Raynor Eissens,,https://zenodo.org/records/19021326,papers/19021326.html,text/19021326.txt,data/19021326.json,18647,2683,19021326_Thirdforming - The Carried Transition Out of Leakage-Bound Instability.pdf,764584cabfc6cca39618d6a2fa2d083d1b7c4aa4e20727d1801d7c6e8afb0a4c,"15, 16",16
19020916,Ψ(t): The Transition Diagnostic for Ambient Stability,16,Raynor Eissens,,https://zenodo.org/records/19020916,papers/19020916.html,text/19020916.txt,data/19020916.json,17793,2651,19020916_Ψ(t) - The Transition Diagnostic for Ambient Stability.pdf,0c1f530b4b349f761a12241a80973cf53a5e03afab5252f23fb2f6bb7cb56ca3,,
19020647,Leakage (L): The Structural Mismatch Between Extractive Attention and Transformer Coherence,16,Raynor Eissens,,https://zenodo.org/records/19020647,papers/19020647.html,text/19020647.txt,data/19020647.json,18360,2598,19020647_Leakage (L) - The Structural Mismatch Between Extractive Attention and Transformer Coherence.pdf,16e10a9f63324053ada1f2374d8fc12bc05a741ae5786bf693144ec824b97470,,
18968747,Semantic Topography of the Ambient Transition Generative → Chromatic → Ambient → Residue → Field as the Public Semantic Sequence of the Transition,8,Raynor Eissens,,https://zenodo.org/records/18968747,papers/18968747.html,text/18968747.txt,data/18968747.json,10659,1580,18968747_Semantic Topography of the Ambient Transition.pdf,e76356621debfc6383f947d818e2fff34da2adf6864ebe94873fc7420723e66f,5,
18943684,Generative Depth and Chromatic Front: Unifying Musk's AI Edge Node with the Ambient Era Canon,8,Raynor Eissens,10.5281/zenodo.18943684,https://zenodo.org/records/18943684,papers/18943684.html,text/18943684.txt,data/18943684.json,9520,1287,18943684_Generative Depth and Chromatic Front Unifying Musk’s AI Edge Node with the Ambient Era Canon.pdf,fdae854590a5e5c3c9d3b3217303a56575e4098a28dcb6c26bb8f347eff3746b,1,
18943557,"A Unified Model of the Ambient Transition Across Biology, Technology, Interfaces, AI, and Energy Systems",11,Raynor Eissens,10.5281/zenodo.18943557,https://zenodo.org/records/18943557,papers/18943557.html,text/18943557.txt,data/18943557.json,11128,1453,"18943557_A Unified Model of the Ambient Transition Across Biology, Technology….pdf",598411bf4da83dcad570b7527f7fd8a8c261943ccb2ef99edb931bd409ccfe3a,"1, 2",
18881444,COS-3 — Canonical Disclosure of the Chromatic Operating Substrate: Full Technical Specification & Patent-Equivalent Claims,8,Raynor Eissens,,https://zenodo.org/records/18881444,papers/18881444.html,text/18881444.txt,data/18881444.json,7636,1122,18881444_COS-3 — Canonical Disclosure of the Chromatic Operating Substrate.pdf,6eac9dc12bf5427f259439faf0cf57c4f0185202aefd397475975445cc346803,,
18881418,COS-2 — Prior Art & Structural Novelty of the Chromatic Operating Substrate,9,Raynor Eissens,,https://zenodo.org/records/18881418,papers/18881418.html,text/18881418.txt,data/18881418.json,8908,1307,18881418_COS-2 — Prior Art & Structural Novelty of the Chromatic Operating….pdf,30c0a39609ca8f32b143e07b9f7a9579a306dc8453e1d434f584f2af836a4d98,,
18881379,COS-1 — Chromatic Operating Substrate: The Unified Field Model of Post-Symbolic Computing,8,Raynor Eissens,,https://zenodo.org/records/18881379,papers/18881379.html,text/18881379.txt,data/18881379.json,6901,1011,18881379_COS-1 — Chromatic Operating Substrate.pdf,0679d2532344d4914b6e5d86647c1f0b0ee49d2c0383a8a2c20ff5a81e4a2c5a,"1, 6",
18865707,CC×A — Chromatic Context × Aura Dynamics: A Situational Reconstruction Model for Ambient Systems,5,Raynor Eissens,,https://zenodo.org/records/18865707,papers/18865707.html,text/18865707.txt,data/18865707.json,5537,739,18865707_Chromatic Context × Aura Dynamics-.pdf,5c54824ef914968e529b45cb25cd040000f80ae469bab9144a0ccece15f9cf33,3,
18865651,CM-2 — Chromatic Memory & Contextual Reconstruction: A Cognitive Substrate for Ambient Systems,7,Raynor Eissens,,https://zenodo.org/records/18865651,papers/18865651.html,text/18865651.txt,data/18865651.json,5820,800,18865651_CM-2 — Chromatic Memory & Contextual Reconstruction.pdf,d3b45900725022557015f02b8a43c5c3e63772fe84e80f78b4d5d81b453fca55,,
18860092,Universal Communication Transitions and the Ambient Model,10,Raynor Eissens,,https://zenodo.org/records/18860092,papers/18860092.html,text/18860092.txt,data/18860092.json,9698,1255,18860092_Universal Communication Transitions and the Ambient Model A Structural Model of Communication Evolution.pdf,46b71a241f7d16184cfecb9a58579c0004865574608eab96780bacb3d78a609e,"2, 3, 5, 6, 7",
18857143,Prior Art Statement: Structural Anticipations and Novel Contributions of the Ambient Era Canon,8,Raynor Eissens,10.5281/zenodo.18857143,https://zenodo.org/records/18857143,papers/18857143.html,text/18857143.txt,data/18857143.json,9549,1179,18857143_Prior Art Statement - Structural Anticipations and Novel Contributions of the Ambient Era Canon.pdf,412b9e8a6f76bb1d60273d0292740ed719436828172fc8700363c97d9aa65090,"1, 3, 4",
